Temperature,Concentration,Viscosity,Boiling Point,Freezing Point,Molecular mass + (u),Ionic radius + (pm),Charge number +,Molecular mass - (u),Ionic radius - (pm),Charge number -,Shielding Effect+,Reduction in Activity Coefficient+,Molecular Polarization+,Shielding Effect-,Reduction in Activity Coefficient-,Molecular Polarization-,Dielectric
20,15.2,2344.33,100.5,-5.81,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,65.11
20,17.1,2447.65,100.55,-6.54,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,63.66
20,19,2549.37,100.61,-7.27,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,62.28
30,3.2,1072.43,100.12,-1.23,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,72.87
30,6.4,1249.08,100.23,-2.45,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,69.64
30,9.6,1381.39,100.33,-3.68,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,66.72
30,12.8,1501.35,100.43,-4.9,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,64.06
30,16,1616.16,100.52,-6.12,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,61.61
30,19.2,1728.32,100.61,-7.34,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,59.36
30,22.4,1838.95,100.7,-8.56,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,57.29
30,25.6,1948.61,100.79,-9.79,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,55.39
30,28.8,2057.61,100.87,-11.01,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,53.64
30,32,2166.15,100.95,-12.23,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,52.04
40,4.5,888.46,100.17,-1.73,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,68.32
40,9,1032,100.31,-3.45,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,64.24
40,13.5,1155.41,100.45,-5.17,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,60.67
40,18,1273.47,100.58,-6.88,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,57.5
40,22.5,1389.34,100.71,-8.6,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,54.68
40,27,1504.11,100.82,-10.32,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,52.17
40,31.5,1618.24,100.94,-12.04,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,49.94
40,36,1731.96,101.05,-13.76,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,47.98
40,40.5,1845.41,101.15,-15.48,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,46.26
40,45,1958.68,101.25,-17.2,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,44.78
50,4.25,714.56,100.16,-1.63,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,65.5
50,8.5,821.02,100.3,-3.26,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,61.78
50,12.75,913.51,100.43,-4.88,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,58.5
50,17,1002.31,100.55,-6.5,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,55.57
50,21.25,1089.62,100.67,-8.13,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,52.95
50,25.5,1176.16,100.78,-9.75,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,50.6
50,29.75,1262.27,100.89,-11.37,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,48.51
50,34,1348.1,101,-12.99,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,46.64
50,38.25,1433.75,101.1,-14.62,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,44.99
50,42.5,1519.28,101.19,-16.24,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,43.54
60,4,596.08,100.15,-1.54,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,62.8
60,8,678.79,100.28,-3.06,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,59.41
60,12,751.02,100.4,-4.59,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,56.41
60,16,820.51,100.52,-6.12,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,53.72
60,20,888.89,100.64,-7.65,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,51.29
60,24,956.7,100.75,-9.18,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,49.11
60,28,1024.19,100.85,-10.7,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,47.14
60,32,1091.47,100.95,-12.23,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,45.37
60,36,1158.62,101.05,-13.76,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,43.79
60,40,1225.67,101.14,-15.29,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,42.39
70,3.95,514.25,100.15,-1.52,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,60.04
70,7.9,582.76,100.28,-3.03,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,56.84
70,11.85,643.37,100.4,-4.54,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,53.99
70,15.8,701.91,100.52,-6.04,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,51.44
70,19.75,759.62,100.63,-7.55,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,49.14
70,23.7,816.9,100.74,-9.06,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,47.06
70,27.65,873.94,100.84,-10.57,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,45.19
70,31.6,930.83,100.94,-12.08,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,43.5
70,35.55,987.62,101.03,-13.59,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,41.99
70,39.5,1044.33,101.13,-15.1,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,40.65
80,3.9,452.02,100.15,-1.5,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,57.4
80,7.8,510.23,100.27,-2.99,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,54.37
80,11.7,562.24,100.4,-4.48,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,51.68
80,15.6,612.64,100.51,-5.97,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,49.26
80,19.5,662.38,100.62,-7.46,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,47.08
80,23.4,711.8,100.73,-8.95,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,45.1
80,27.3,761.02,100.83,-10.44,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,43.32
80,31.2,810.13,100.93,-11.93,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,41.71
80,35.1,859.16,101.02,-13.41,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,40.27
80,39,908.13,101.12,-14.9,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,38.99
90,3.8,402.35,100.14,-1.46,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,54.91
90,7.6,452.3,100.27,-2.91,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,52.08
90,11.4,497.18,100.39,-4.36,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,49.56
90,15.2,540.74,100.5,-5.81,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,47.29
90,19,583.77,100.61,-7.27,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,45.23
90,22.8,626.53,100.71,-8.72,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,43.37
90,26.6,669.14,100.81,-10.17,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,41.68
90,30.4,711.65,100.91,-11.62,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,40.15
90,34.2,754.1,101,-13.07,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,38.78
90,38,796.51,101.09,-14.52,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,37.55
