Temperature,Concentration,Viscosity,Boiling Point,Freezing Point,Molecular mass + (u),Ionic radius + (pm),Charge number +,Molecular mass - (u),Ionic radius - (pm),Charge number -,Shielding Effect+,RAC+,Molecular Polarization+,Shielding Effect-,RAC-,Molecular Polarization-,Category,Duration,Cumulative_Hazard,Dielectric
20,105,203.19,103.15,-7.98,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,25,2.584490593,32.36
20,126,169.5,103.78,-9.48,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,26,2.575542332,27.86
20,147,145.82,104.41,-10.97,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,27,2.56903957,24.58
20,168,128.44,105.04,-12.46,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,28,2.564746465,22.41
20,189,115.24,105.67,-13.95,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,29,2.562553227,21.3
20,210,104.92,106.3,-15.44,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,30,2.562296484,21.17
30,26.5,681.96,100.8,-2.39,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,31,2.639630144,59.75
30,53,394.27,101.59,-4.28,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,32,2.614543271,47.36
30,79.5,268.09,102.39,-6.17,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,33,2.595469588,37.86
30,106,201.27,103.18,-8.05,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,34,2.581146278,30.68
30,132.5,161.31,103.98,-9.94,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,35,2.570921301,25.53
30,159,135.28,104.77,-11.82,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,36,2.564272093,22.17
30,185.5,117.21,105.57,-13.7,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,37,2.560894727,20.46
30,212,104.06,106.36,-15.58,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,38,2.560500004,20.26
30,238.5,94.12,107.16,-17.47,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,39,2.562928513,21.49
30,265,86.38,107.95,-19.35,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,40,2.568010154,24.06
40,32,597.78,100.96,-2.78,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,41,2.6286872,54.36
40,64,330.94,101.92,-5.07,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,42,2.602119469,41.18
40,96,222.23,102.88,-7.34,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,43,2.583096602,31.66
40,128,166.88,103.84,-9.62,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,44,2.5700694,25.1
40,160,134.48,104.8,-11.89,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,45,2.562138502,21.09
40,192,113.61,105.76,-14.16,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,46,2.558744224,19.37
40,224,99.23,106.72,-16.44,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,47,2.559454282,19.73
40,256,88.81,107.68,-18.71,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,48,2.563955893,22.01
40,288,80.95,108.64,-20.98,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,49,2.572051001,26.1
40,320,74.84,109.6,-23.25,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,50,2.583534633,31.88
50,39,513.17,101.17,-3.28,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,51,2.617486996,48.82
50,78,273.17,102.34,-6.06,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,52,2.589714783,34.98
50,117,182.41,103.51,-8.84,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,53,2.571535638,25.84
50,156,137.75,104.68,-11.61,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,54,2.560973678,20.5
50,195,112.04,105.85,-14.38,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,55,2.556930527,18.45
50,234,95.63,107.02,-17.15,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,56,2.558685062,19.34
50,273,84.38,108.19,-19.92,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,57,2.565695474,22.89
50,312,76.23,109.36,-22.69,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,58,2.577667218,28.93
50,351,70.09,110.53,-25.46,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,59,2.594289611,37.27
50,390,65.32,111.7,-28.22,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,60,2.61545023,47.81
60,46,447.04,101.38,-3.78,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,61,2.607519968,43.87
60,92,231.89,102.76,-7.06,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,62,2.579435982,29.82
60,138,152.5,104.15,-10.33,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,63,2.563007528,21.53
60,184,118.08,105.52,-13.6,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,64,2.555827166,17.89
60,230,97.03,106.9,-16.86,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,65,2.556556119,18.26
60,276,83.66,108.28,-20.13,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,66,2.564390678,22.23
60,322,74.5,109.66,-23.4,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,67,2.578740256,29.47
60,368,67.87,111.04,-26.66,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,68,2.599253127,39.75
60,414,62.87,112.42,-29.93,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,69,2.625629694,52.85
60,460,58.98,113.8,-33.19,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,70,2.65775803,68.63
70,55,381.29,101.65,-4.43,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,71,2.597290604,38.77
70,110,193.97,103.3,-8.34,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,72,2.569495021,24.81
70,165,130.63,104.95,-12.25,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,73,2.556102962,18.03
70,220,100.78,106.6,-16.15,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,74,2.554212391,17.07
70,275,83.9,108.25,-20.06,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,75,2.562197744,21.12
70,330,73.2,109.9,-23.96,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,76,2.579117912,29.66
70,385,65.87,111.55,-27.87,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,77,2.604346571,42.29
70,440,60.56,113.2,-31.77,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,78,2.637494834,58.7
70,495,56.55,114.85,-35.68,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,79,2.678362684,78.65
70,550,53.43,116.5,-39.59,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,80,2.726874406,101.94
80,64,330.94,101.92,-5.07,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,81,2.588357872,34.3
80,128,166.88,103.84,-9.62,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,82,2.561783076,20.91
80,192,113.61,105.76,-14.16,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,83,2.552362561,16.13
80,256,88.81,107.68,-18.71,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,84,2.556694052,18.33
80,320,74.84,109.6,-23.25,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,85,2.57294322,26.55
80,384,65.98,111.52,-27.8,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,86,2.600054583,40.15
80,448,59.91,113.44,-32.34,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,87,2.637393196,58.65
80,512,55.51,115.36,-36.89,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,88,2.684624832,81.68
80,576,52.18,117.28,-41.43,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,89,2.741689406,108.97
80,640,49.57,119.2,-45.98,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,90,2.808590732,140.25
90,90,237.03,102.7,-6.92,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,91,2.572685437,26.42
90,180,120.48,105.4,-13.31,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,92,2.551575806,15.73
90,270,85.11,108.1,-19.7,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,93,2.557561232,18.77
90,360,68.89,110.8,-26.09,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,94,2.585586399,32.91
90,450,59.75,113.5,-32.48,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,95,2.633330875,56.65
90,540,53.94,116.2,-38.88,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,96,2.699709627,88.95
90,630,49.94,118.9,-45.27,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,97,2.784493642,129.07
90,720,47.03,121.6,-51.66,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,98,2.887966305,176.41
90,810,44.81,124.3,-58.05,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,99,3.010953876,230.52
90,900,43.07,127,-64.44,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,100,3.154604627,290.99
0,5,983.27,100.41,-3.17,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,101,2.685059385,81.89
0,10,1184.21,102.11,-6.34,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,102,2.674773204,76.91
0,15,1426.22,103.8,-9.51,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,103,2.665779443,72.54
0,20,1717.68,105.47,-12.68,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,104,2.657860453,68.68
0,25,2068.71,107.13,-15.85,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,105,2.650863804,65.26
0,30,2491.47,108.77,-19.02,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,106,2.644660023,62.22
0,35,3000.64,110.39,-22.19,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,107,2.639202944,59.54
0,40,3613.85,112,-25.36,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,108,2.63440678,57.18
0,45,4352.39,113.59,-28.53,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,109,2.630247695,55.13
0,50,5241.85,115.17,-31.7,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,110,2.626682208,53.37
10,6,814.82,100.75,-3.8,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,111,2.675432977,77.23
10,12,1018.53,102.79,-7.61,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,112,2.664136266,71.74
10,18,1273.15,104.81,-11.41,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,113,2.654503033,67.04
10,24,1591.44,106.8,-15.22,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,114,2.646189211,62.97
10,30,1989.29,108.77,-19.02,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,115,2.638999539,59.44
10,36,2486.6,110.71,-22.82,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,116,2.632823524,56.4
10,42,3108.24,112.64,-26.63,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,117,2.627573127,53.81
10,48,3885.29,114.54,-30.43,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,118,2.623161989,51.63
10,54,4856.6,116.42,-34.24,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,119,2.619525347,49.83
10,60,6070.72,118.28,-38.04,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,120,2.616639831,48.4
20,7,684.86,101.09,-4.44,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,121,2.666395896,72.84
20,14,888.51,103.47,-8.88,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,122,2.654339365,66.96
20,21,1152.72,105.81,-13.31,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,123,2.644272769,62.03
20,28,1495.49,108.11,-17.75,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,124,2.635787831,57.86
20,35,1940.18,110.39,-22.19,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,125,2.62864668,54.34
20,42,2517.11,112.64,-26.63,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,126,2.62271724,51.41
20,49,3265.59,114.85,-31.07,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,127,2.617870327,49.01
20,56,4236.64,117.04,-35.5,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,128,2.614039541,47.11
20,63,5496.44,119.2,-39.94,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,129,2.611139943,45.67
20,70,7130.86,121.33,-44.38,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,130,2.609128226,44.67
30,8,583.08,101.43,-5.07,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,131,2.657942395,68.72
30,16,785.12,104.14,-10.14,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,132,2.645312368,62.54
30,24,1057.18,106.8,-15.22,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,133,2.634995669,57.47
30,32,1423.5,109.42,-20.29,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,134,2.626500012,53.28
30,40,1916.77,112,-25.36,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,135,2.619585917,49.86
30,48,2580.96,114.54,-30.43,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,136,2.614059688,47.12
30,56,3475.3,117.04,-35.5,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,137,2.609812036,45.01
30,64,4679.55,119.51,-40.58,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,138,2.606716211,43.47
30,72,6301.08,121.93,-45.65,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,139,2.604727978,42.48
30,80,8484.5,124.33,-50.72,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,140,2.603744464,41.99
40,9,502.27,101.77,-5.71,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,141,2.650005837,64.84
40,18,701.94,104.81,-11.41,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,142,2.636986682,58.45
40,27,980.98,107.79,-17.12,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,143,2.626560743,53.31
40,36,1370.96,110.71,-22.82,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,144,2.618213355,49.18
40,45,1915.96,113.59,-28.53,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,145,2.611643115,45.92
40,54,2677.62,116.42,-34.24,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,146,2.60667603,43.45
40,63,3742.07,119.2,-39.94,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,147,2.603142496,41.69
40,72,5229.67,121.93,-45.65,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,148,2.600916423,40.58
40,81,7308.65,124.62,-51.35,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,149,2.600134742,40.19
40,90,10214.09,127.27,-57.06,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,150,2.600134742,40.19
50,9.5,429.26,101.94,-6.02,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,151,2.643335442,61.57
50,19,611.16,105.14,-12.05,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,152,2.630470699,55.24
50,28.5,870.15,108.28,-18.07,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,153,2.620292663,50.21
50,38,1238.9,111.36,-24.09,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,154,2.612247049,46.22
50,47.5,1763.9,114.38,-30.12,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,155,2.606053298,43.14
50,57,2511.38,117.35,-36.14,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,156,2.601497826,40.87
50,66.5,3575.61,120.27,-42.16,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,157,2.598431891,39.34
50,76,5090.83,123.13,-48.18,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,158,2.596730155,38.49
50,85.5,7248.15,125.95,-54.21,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,159,2.596309898,38.28
50,95,10319.66,128.72,-60.23,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,160,2.59709043,38.67
60,10,370.48,102.11,-6.34,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,161,2.637007006,58.46
60,20,537.38,105.47,-12.68,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,162,2.624334871,52.21
60,30,779.46,108.77,-19.02,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,163,2.614422367,47.3
60,40,1130.59,112,-25.36,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,164,2.606716211,43.47
60,50,1639.91,115.17,-31.7,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,165,2.600896377,40.57
60,60,2378.67,118.28,-38.04,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,166,2.596770183,38.51
60,70,3450.24,121.33,-44.38,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,167,2.594169644,37.21
60,80,5004.53,124.33,-50.72,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,168,2.592970273,36.61
60,90,7259.01,127.27,-57.06,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,169,2.593110171,36.68
60,100,10529.11,130.15,-63.4,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,170,2.594469573,37.36
70,10.5,322.64,102.28,-6.66,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,171,2.63103843,55.52
70,21,476.77,105.81,-13.31,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,172,2.61857661,49.36
70,31.5,704.53,109.26,-19.97,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,173,2.608947247,44.58
70,42,1041.1,112.64,-26.63,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,174,2.60157803,40.91
70,52.5,1538.44,115.95,-33.29,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,175,2.596149818,38.2
70,63,2273.38,119.2,-39.94,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,176,2.592430738,36.34
70,73.5,3359.4,122.38,-46.6,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,177,2.590313646,35.28
70,84,4964.22,125.51,-53.26,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,178,2.589614986,34.93
70,94.5,7335.69,128.57,-59.91,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,179,2.590273717,35.26
70,105,10840.04,131.58,-66.57,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,180,2.592210959,36.23
80,10.75,280.7,102.37,-6.82,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,181,2.625690404,52.88
80,21.5,418.67,105.97,-13.63,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,182,2.613636627,46.91
80,32.25,624.45,109.5,-20.45,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,183,2.604366644,42.3
80,43,931.38,112.96,-27.26,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,184,2.59733064,38.79
80,53.75,1389.17,116.34,-34.08,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,185,2.592230938,36.24
80,64.5,2071.97,119.66,-40.89,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,186,2.588816748,34.53
80,75.25,3090.37,122.91,-47.71,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,187,2.586961795,33.6
80,86,4609.34,126.1,-54.52,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,188,2.586523184,33.38
80,96.75,6874.9,129.22,-61.34,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,189,2.587420423,33.83
80,107.5,10254.02,132.29,-68.16,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,190,2.589595027,34.92
90,11,246.09,102.45,-6.97,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,191,2.62061581,50.37
90,22,370.47,106.14,-13.95,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,192,2.608947247,44.58
90,33,587.73,109.74,-20.92,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,193,2.600054583,40.15
90,44,839.63,113.27,-27.9,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,194,2.593350014,36.8
90,55,1264.02,116.73,-34.87,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,195,2.588537422,34.39
90,66,1902.92,120.12,-41.84,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,196,2.585407054,32.82
90,77,2864.74,123.43,-48.82,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,197,2.583813418,32.02
90,88,4312.71,126.68,-55.79,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,198,2.583614282,31.92
90,99,6492.56,129.87,-62.77,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,199,2.58474956,32.49
90,110,9774.21,132.99,-69.74,40.08,100,2,35.45,181,-1,3,3,3,1,1,1,1,200,2.587121309,33.68
0,1.08,2432.18,100.14,-0.22,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,201,2.695239706,86.8
0,2.16,2496,100.25,-0.42,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,202,2.693225468,85.83
0,3.24,2559.82,100.37,-0.62,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,203,2.691295704,84.9
0,4.32,2623.64,100.49,-0.82,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,204,2.689408779,83.99
0,5.4,2687.45,100.61,-1.02,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,205,2.687606033,83.12
0,6.48,2751.27,100.73,-1.21,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,206,2.685825196,82.26
0,7.56,2815.09,100.85,-1.41,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,207,2.6841076,81.43
0,8.64,2878.91,100.97,-1.61,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,208,2.68243245,80.62
0,9.72,2942.73,101.09,-1.81,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,209,2.68079967,79.83
0,10.8,3006.55,101.2,-2.01,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,210,2.679188533,79.05
10,1.3,1280.81,100.16,-0.26,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,211,2.686798298,82.73
10,2.6,1321.05,100.3,-0.5,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,212,2.684521378,81.63
10,3.9,1361.29,100.45,-0.74,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,213,2.68232908,80.57
10,5.2,1401.52,100.59,-0.98,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,214,2.680241859,79.56
10,6.5,1441.76,100.73,-1.22,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,215,2.678197545,78.57
10,7.8,1482,100.87,-1.46,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,216,2.676237296,77.62
10,9.1,1522.24,101.02,-1.7,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,217,2.674319704,76.69
10,10.4,1562.48,101.16,-1.93,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,218,2.672465279,75.79
10,11.7,1602.71,101.3,-2.17,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,219,2.670653307,74.91
10,13,1642.95,101.45,-2.41,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,220,2.668904272,74.06
20,1.677,875.55,100.2,-0.33,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,221,2.678527833,78.73
20,3.354,910.71,100.39,-0.64,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,222,2.675762925,77.39
20,5.031,945.88,100.57,-0.95,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,223,2.673165689,76.13
20,6.708,981.04,100.75,-1.26,63.55,73,2,96.7,230,-2,3,3,3,3,3,3,3,224,2.67067389,74.92
